"","html_form","attachments","flash_content","html_iframe","html_content","urls","external_resources","javascript","css","ips_in_urls","at_in_urls","encoding","is_phishy"
"207","False","0","False","False","True","0","0","0","0","False","False","none","True"
"208","False","0","False","False","False","0","0","0","0","False","False","none","True"
"209","False","0","False","False","False","0","0","0","0","False","False","none","True"
"210","False","0","False","False","False","0","0","0","0","False","False","none","True"
"211","False","0","False","False","False","0","0","0","0","False","False","none","True"
"212","False","0","False","False","False","0","0","0","0","False","False","7bit","True"
"213","False","0","False","False","True","0","0","0","0","False","False","other","True"
"214","False","0","False","False","True","0","0","0","0","False","False","other","True"
"215","False","0","False","False","True","0","0","0","0","False","False","other","True"
"216","False","0","False","False","False","0","0","0","0","False","False","none","True"
"217","False","0","False","False","False","0","0","0","0","False","False","none","True"
"218","False","0","False","False","False","0","0","0","0","False","False","none","True"
"219","False","0","False","False","True","0","0","0","0","False","False","other","True"
"220","False","0","False","False","True","0","0","0","0","False","False","other","True"
"221","False","0","False","False","True","0","0","0","0","False","False","other","True"
"222","False","0","False","False","False","0","0","0","0","False","False","none","True"
"223","False","0","False","False","False","2","0","0","0","False","False","8bit","True"
"224","False","1","False","False","False","0","0","0","0","False","False","none","True"
"225","False","0","False","False","True","0","0","0","0","False","False","base64","True"
"226","False","0","False","False","True","8","0","0","0","True","False","none","True"
"227","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"228","False","0","False","False","True","0","1","2","0","False","False","base64","True"
"229","False","0","False","False","False","0","0","0","0","False","False","base64","True"
"230","False","0","False","False","True","0","0","0","0","False","False","none","True"
"231","False","0","False","False","True","0","0","0","0","False","False","other","True"
"232","False","0","False","False","True","0","0","0","0","False","False","other","True"
"233","False","0","False","False","False","0","0","0","0","False","False","none","True"
"234","False","0","False","False","True","0","0","0","0","False","False","other","True"
"235","False","0","False","False","True","4","0","1","0","False","False","7bit","True"
"236","False","0","False","False","True","0","0","0","0","False","False","none","True"
"237","False","0","False","False","False","11","0","0","0","True","False","none","True"
